	FIRE_YEAR	1	0	MANMADE
1826578	2015	46.56129286	-92.54133807	1
1826616	2015	45.17	-122.51556	1
1826622	2015	42.8299	-75.3809	1
1826582	2015	32.31879722	-83.05557778	1
1826581	2015	41.955399	-70.718193	1
1826576	2015	34.048222	-80.217392	1
1826625	2015	33.538174	-87.502178	1
1826577	2015	41.900928	-71.504799	1
1826583	2015	29.7218	-81.8222	1
1826618	2015	31.52621667	-81.41266667	1
1826619	2015	35.117695	-81.782478	1
1826580	2015	32.6511	-83.86324167	1
1826620	2015	32.82919444	-83.56433333	1
1826623	2015	32.8214861	-89.82921833	1
1826621	2015	45.255	-122.46083	1
1826624	2015	39.424017	-123.388967	1
1826627	2015	45.65806	-121.53722	1
1826628	2015	32.43444444	-82.48555556	1
1826617	2015	45.63306	-123.9425	1
1826579	2015	34.265686	-80.103127	1
1826602	2015	29.5174	-81.9573	1
1826626	2015	33.362665	-87.449425	1
1826597	2015	28.9937	-81.4657	1
1826601	2015	30.1352	-83.0085	1
1826603	2015	41.32005	-122.342233	1
1826604	2015	34.117245	-80.541107	1
1826605	2015	47.8445	-118.3149	1
1826606	2015	32.865933	-116.633283	1
1826589	2015	33.498325	-117.141968	1
1826592	2015	34.349205	-80.171539	1
1826608	2015	30.538734	-87.573237	1
1826587	2015	29.587	-82.7668	1
1826586	2015	30.65656863	-89.38107053	1
1826609	2015	34.525065	-87.238905	1
1826610	2015	33.78849	-80.348053	1
1826611	2015	44.08333	-123.26667	1
1826612	2015	37.07	-97	1
1826598	2015	31.20100556	-83.42161111	1
1826613	2015	47.134	-123.3103	1
1826614	2015	32.11071389	-83.13049444	1
1826588	2015	34.078663	-80.145271	1
1826590	2015	31.22925556	-82.71414444	1
1826591	2015	33.550831	-79.335197	1
1809850	2015	29.2393	-82.9993	1
1826558	2015	46.877	-114.1534	1
1826549	2015	44.308105	-71.801123	1
1826615	2015	32.15978333	-82.75369167	1
1826594	2015	34.535209	-86.833141	1
1826593	2015	31.437865	-85.375924	1
1826584	2015	33.41805833	-83.55805833	1
1826607	2015	33.41816389	-83.55353611	1
1826276	2015	42.427653	-71.594984	1
1826574	2015	32.378175	-83.21881111	1
1826520	2015	44.121972	-70.080154	1
1826521	2015	33.075325	-79.476257	1
1826522	2015	31.79849167	-83.54405833	1
1826523	2015	31.14459444	-84.18319444	1
1826524	2015	29.65	-81.8969	1
1826525	2015	30.87136389	-84.45077778	1
1826526	2015	33.587097	-80.38485	1
1826527	2015	33.71735	-80.283524	1
1826528	2015	30.2004	-81.9704	1
1826529	2015	34.090157	-80.422897	1
1826530	2015	35.88863	-90.94434	1
1826600	2015	29.4449	-82.5222	1
1826531	2015	26.5748	-80.2392	1
1826532	2015	34.544156	-85.626748	1
1826533	2015	34.429384	-86.624453	1
1826595	2015	34.366825	-80.031525	1
1826596	2015	31.93081389	-84.74293056	1
1826534	2015	33.268728	-87.083359	1
1826518	2015	33.820877	-80.417542	1
1826516	2015	43.704479	-70.507132	1
1826500	2015	46.73970389	-93.94759567	1
1826501	2015	31.67138056	-83.72503889	1
1826502	2015	39.612867	-121.787333	1
1826503	2015	32.66130556	-83.14333333	1
1826504	2015	31.61536667	-83.25614722	1
1826505	2015	32.15935833	-82.75371667	1
1826506	2015	38.9917	-123.151467	1
1826535	2015	39.394483	-123.817667	1
1826517	2015	48.5963	-119.2792	1
1826507	2015	34.81358333	-84.93686111	1
1826510	2015	35.563683	-121.096817	1
1826511	2015	33.438042	-80.055771	1
1826512	2015	35.89131	-90.94439	1
1826513	2015	35.881679	-90.943923	1
1826514	2015	32.15540833	-83.51058333	1
1826515	2015	30.2784	-82.2334	1
1826508	2015	44.7698	-73.7644	1
1826536	2015	46.2084	-122.876	1
1826537	2015	29.4866	-82.1613	1
